Leg Stretch,60,Extend your back leg out in line with your front leg and lean forward,images/stretch/leg_stretch.png
Hamstring Stretch,30,Lift your leg backwards and hold with your hand to stretch,images/stretch/hamstring_stretch.png
Arm Stretch,30,Extend your arm straight across your body and hold with your other arm across the top,images/stretch/arm_stretch.png
Shoulder Stretch,30,Bend your arm over your shoulder behind your back and try to reach down as far as possible,images/stretch_shoulder.png
Arm Circles,30,Rotate your arms in alternating circles to stretch your shoulders,images/stretch/arm_circle.png
