Sit ups,60,Perform as many situps as you can in the time period,images/core/situp.png
Push ups,60,Perform as many pushups as you can in the time period,images/core/pushup.png
Plank,30,Perform a plank for the time period,images/core/plank.png
Star Jumps,60,Perform as many star jumps as you can in the time period,images/core/star_jump.png
Lunges,60,Perform as many lunges as you can in the time period,images/core/lunge.png
Burpees,30,Perform as many burpees as you can in the time period,images/core/burpee.png
